policy_id,customer_id,status,product_type,monthly_premium,start_date
POL10136,CUST0114,Cancelled,Critical Illness,110.02,2023-10-17
POL10137,CUST0083,Cancelled,Whole Life,342.28,2022-09-07
POL10138,CUST0182,active,Critical Illness,643.31,2024-09-13
POL10139,CUST0039,,Term Life,705.85,2024-09-12
POL10140,CUST0110,Lapsed,Disability,356.0,2020-11-04
POL10141,CUST0189,active,WHOLE LIFE,523.29,2021-08-18
POL10142,CUST0281,,WHOLE LIFE,188.93,2023-08-31
POL10143,CUST0190,Cancelled,Term Life,302.56,2023-01-18
POL10144,CUST0043,Lapsed,term life,700.39,2022-08-07
POL10145,CUST0154,,Term Life,212.74,2023-09-17
POL10146,CUST0042,cancelled,Critical Illness,658.96,2021-11-02
POL10147,CUST0145,active,Whole Life,628.04,2022-01-20
POL10148,CUST0061,ACTIVE,WHOLE LIFE,521.76,2025-01-22
POL10149,CUST0143,Lapsed,term life,286.86,2021-10-12
POL10150,CUST0114,Lapsed,WHOLE LIFE,241.13,2022-01-10
POL10151,CUST0188,Active,Critical Illness,513.7,2024-06-18
POL10152,CUST0100,cancelled,term life,356.1,2020-11-13
POL10153,CUST0289,active,Whole Life,408.04,2024-10-16
POL10154,CUST0145,,Term Life,86.76,2020-11-20
POL10155,CUST0291,ACTIVE,Term Life,691.5,2020-05-11
POL10156,CUST0298,Cancelled,Critical Illness,108.08,2020-06-16
POL10157,CUST0141,cancelled,Term Life,108.61,2023-07-22
POL10158,CUST0074,Active,WHOLE LIFE,381.86,2023-12-29
POL10159,CUST0113,Lapsed,term life,411.85,2021-12-18
POL10160,CUST0173,,Critical Illness,439.87,2023-01-05
POL10161,CUST0038,cancelled,term life,372.59,2024-08-19
POL10162,CUST0179,,Term Life,715.4,2024-12-24
POL10163,CUST0238,Cancelled,WHOLE LIFE,,2022-01-11
POL10164,CUST0006,,Term Life,380.57,2020-10-26
POL10165,CUST0126,cancelled,Whole Life,344.17,2020-12-09
POL10166,CUST0165,active,Disability,276.54,2025-06-09
POL10167,CUST0031,Lapsed,Critical Illness,285.83,2020-11-14
POL10168,CUST0092,Active,Disability,,2022-09-12
POL10169,CUST0019,ACTIVE,Term Life,331.05,2023-04-19
POL10170,CUST0121,Cancelled,WHOLE LIFE,451.97,2022-06-24
POL10171,CUST0095,ACTIVE,Disability,653.58,2021-09-30
POL10172,CUST0281,,term life,250.98,2024-12-22
POL10173,CUST0207,ACTIVE,WHOLE LIFE,815.19,2022-09-15
POL10174,CUST0114,Lapsed,Term Life,148.78,2024-06-22
POL10175,CUST0198,Cancelled,term life,678.02,2020-04-28
POL10176,CUST0122,Active,Disability,404.52,2021-05-19
POL10177,CUST0216,Cancelled,Whole Life,665.26,2020-10-23
POL10178,CUST0133,,term life,640.76,2023-06-22
POL10179,CUST0137,Cancelled,term life,503.22,2020-12-31
POL10180,CUST0001,active,Whole Life,106.77,2021-07-06
POL10181,CUST0271,Active,Disability,107.12,2024-03-13
POL10182,CUST0279,,term life,679.35,2022-05-03
POL10183,CUST0099,cancelled,Term Life,396.55,2020-03-17
POL10184,CUST0279,Lapsed,term life,806.74,2025-05-28
POL10185,CUST0160,ACTIVE,Critical Illness,490.68,2022-08-14
POL10186,CUST0035,ACTIVE,Term Life,125.66,2022-03-18
POL10187,CUST0237,cancelled,Term Life,50.0,2022-02-11
POL10188,CUST0244,active,Critical Illness,411.05,2020-01-22
POL10189,CUST0106,Cancelled,Whole Life,344.55,2023-01-10
POL10190,CUST0153,ACTIVE,Disability,110.41,2021-01-21
POL10191,CUST0103,Lapsed,WHOLE LIFE,290.87,2021-07-14
POL10192,CUST0289,Lapsed,WHOLE LIFE,401.95,2022-02-22
POL10193,CUST0048,Active,Whole Life,146.47,2023-07-15
POL10194,CUST0092,active,Whole Life,717.9,2023-04-28
POL10195,CUST0047,Active,Whole Life,839.81,2022-06-07
POL10196,CUST0209,,Term Life,706.84,2025-03-13
POL10197,CUST0262,active,WHOLE LIFE,159.86,2023-11-16
POL10198,CUST0198,Lapsed,Critical Illness,544.65,2024-01-28
POL10199,CUST0206,Cancelled,WHOLE LIFE,678.89,2021-05-16
POL10200,CUST0272,Active,Critical Illness,317.21,2023-08-25
POL10201,CUST0226,Active,term life,452.58,2024-06-02
POL10202,CUST0151,,Term Life,168.26,2024-04-18
POL10203,CUST0276,ACTIVE,term life,535.73,2022-11-17
POL10204,CUST0073,Cancelled,WHOLE LIFE,796.14,2024-01-05
POL10205,CUST0101,Cancelled,Term Life,200.3,2020-06-19
POL10206,CUST0070,active,Disability,604.65,2021-11-05
POL10207,CUST0047,,Critical Illness,755.22,2022-07-15
POL10208,CUST0070,active,term life,494.19,2023-02-21
POL10209,CUST0136,active,WHOLE LIFE,702.18,2023-05-16
POL10210,CUST0075,Active,Term Life,766.58,2021-05-08
POL10211,CUST0294,ACTIVE,Whole Life,483.76,2020-06-05
POL10212,CUST0233,Active,Disability,839.47,2025-04-07
POL10213,CUST0071,ACTIVE,WHOLE LIFE,774.22,2023-06-13
POL10214,CUST0009,active,Whole Life,66.78,2022-12-17
POL10215,CUST0198,Active,term life,312.36,2020-09-26
POL10216,CUST0135,active,term life,83.31,2024-05-24
POL10217,CUST0020,cancelled,WHOLE LIFE,366.57,2022-10-15
POL10218,CUST0053,Lapsed,Critical Illness,545.28,2023-11-12
POL10219,CUST0290,,Disability,433.49,2022-08-07
POL10220,CUST0210,,Disability,132.85,2025-04-06
POL10221,CUST0270,ACTIVE,term life,380.48,2020-02-19
POL10222,CUST0165,Active,Critical Illness,769.11,2024-02-08
POL10223,CUST0193,Cancelled,Critical Illness,286.85,2023-04-30
POL10224,CUST0036,active,Term Life,236.3,2024-11-23
POL10225,CUST0204,Active,Disability,466.24,2021-05-04
POL10226,CUST0280,ACTIVE,WHOLE LIFE,231.06,2020-05-20
POL10227,CUST0189,,term life,692.26,2021-03-30
POL10228,CUST0216,Cancelled,Term Life,119.84,2024-06-10
POL10229,CUST0067,Active,term life,407.08,2021-08-29
POL10230,CUST0125,cancelled,Critical Illness,,2020-12-18
POL10231,CUST0033,Lapsed,Disability,361.78,2021-12-31
POL10232,CUST0300,active,Term Life,408.45,2021-10-04
POL10233,CUST0158,ACTIVE,Disability,669.1,2024-05-09
POL10234,CUST0242,active,Whole Life,787.35,2025-01-10
POL10235,CUST0031,active,Critical Illness,326.86,2022-08-25
POL10236,CUST0009,active,WHOLE LIFE,846.28,2021-02-17
POL10237,CUST0273,cancelled,Whole Life,752.94,2020-04-12
POL10238,CUST0055,ACTIVE,WHOLE LIFE,818.7,2021-07-14
POL10239,CUST0216,cancelled,Whole Life,815.13,2024-05-14
POL10240,CUST0228,Lapsed,Term Life,737.84,2020-09-04
POL10241,CUST0101,ACTIVE,Whole Life,446.16,2021-08-28
POL10242,CUST0140,ACTIVE,WHOLE LIFE,133.77,2022-11-22
POL10243,CUST0118,ACTIVE,Whole Life,264.24,2023-08-03
POL10244,CUST0047,Lapsed,Term Life,467.92,2022-12-23
POL10245,CUST0024,Active,term life,475.18,2022-05-17
POL10246,CUST0292,Active,Whole Life,652.1,2021-05-18
POL10247,CUST0092,ACTIVE,WHOLE LIFE,190.95,2025-01-11
POL10248,CUST0078,Active,term life,647.98,2022-02-26
POL10249,CUST0002,Lapsed,Term Life,490.36,2023-08-13
POL10250,CUST0185,ACTIVE,WHOLE LIFE,65.88,2021-08-19
POL10251,CUST0259,,WHOLE LIFE,461.62,2025-05-02
POL10252,CUST0273,active,term life,173.79,2023-05-30
POL10253,CUST0224,active,WHOLE LIFE,666.15,2024-05-29
POL10254,CUST0121,ACTIVE,Disability,730.63,2023-05-20
POL10255,CUST0256,ACTIVE,Term Life,826.21,2020-04-17
POL10256,CUST0294,Lapsed,Whole Life,532.72,2023-05-31
POL10257,CUST0255,,Disability,625.74,2024-10-20
POL10258,CUST0016,Active,Term Life,500.81,2023-01-17
POL10259,CUST0297,,WHOLE LIFE,158.45,2021-09-28
POL10260,CUST0218,Active,WHOLE LIFE,543.17,2022-12-12
POL10261,CUST0136,,term life,566.55,2022-11-11
POL10262,CUST0088,Lapsed,Critical Illness,442.47,2023-09-11
POL10263,CUST0233,Active,Critical Illness,335.18,2021-03-19
POL10264,CUST0022,active,Disability,526.61,2020-10-02
POL10265,CUST0075,cancelled,Disability,838.37,2020-01-07
POL10266,CUST0124,Lapsed,term life,358.27,2021-09-02
POL10267,CUST0242,Lapsed,Term Life,590.68,2024-01-08
POL10268,CUST0118,ACTIVE,Critical Illness,732.84,2022-05-06
POL10269,CUST0237,Active,Whole Life,313.01,2025-03-05
POL10270,CUST0112,Active,Whole Life,566.33,2020-04-29
POL10271,CUST0176,Cancelled,WHOLE LIFE,756.38,2025-03-07
POL10272,CUST0091,Lapsed,Disability,212.79,2022-02-14
POL10273,CUST0026,active,Disability,188.72,2023-01-30
POL10274,CUST0084,Lapsed,Whole Life,521.05,2024-04-04
POL10275,CUST0158,Lapsed,Disability,547.59,2021-01-06
POL10276,CUST0250,active,term life,98.95,2023-11-16
POL10277,CUST0142,ACTIVE,Critical Illness,460.31,2024-02-27
POL10278,CUST0135,Cancelled,Disability,566.06,2021-03-21
POL10279,CUST0138,Active,Critical Illness,629.74,2024-05-10
POL10280,CUST0185,active,Whole Life,774.73,2020-02-11
POL10281,CUST0165,,Disability,732.18,2022-02-20
POL10282,CUST0167,ACTIVE,term life,284.81,2023-05-30
POL10283,CUST0123,Lapsed,Term Life,456.26,2020-09-18
POL10284,CUST0017,active,Critical Illness,427.68,2023-11-22
POL10285,CUST0070,Cancelled,WHOLE LIFE,294.23,2022-07-14
POL10286,CUST0194,active,Whole Life,473.33,2022-07-09
POL10287,CUST0208,active,Disability,328.05,2020-07-29
POL10288,CUST0150,ACTIVE,Critical Illness,153.65,2024-10-03
POL10289,CUST0013,cancelled,WHOLE LIFE,49.2,2024-04-08
POL10290,CUST0153,cancelled,WHOLE LIFE,730.89,2023-02-17
POL10291,CUST0181,cancelled,Term Life,743.38,2021-04-25
POL10292,CUST0133,Active,Disability,439.26,2022-09-30
POL10293,CUST0197,ACTIVE,Critical Illness,266.65,2020-11-20
POL10294,CUST0207,active,Disability,324.08,2023-12-29
POL10295,CUST0123,Cancelled,Term Life,775.09,2024-07-04
POL10296,CUST0078,Lapsed,term life,730.88,2021-09-23
POL10297,CUST0012,Lapsed,Term Life,90.98,2022-04-08
POL10298,CUST0140,Active,Disability,514.56,2022-08-18
POL10299,CUST0167,ACTIVE,Term Life,,2021-12-11
POL10300,CUST0166,ACTIVE,term life,700.28,2024-12-21
POL10301,CUST0096,cancelled,Disability,316.57,2025-01-12
POL10302,CUST0186,Active,term life,215.41,2020-06-03
POL10303,CUST0025,Cancelled,term life,376.61,2021-07-19
POL10304,CUST0035,,Disability,349.32,2025-02-05
POL10305,CUST0198,Active,Whole Life,261.02,2022-10-10
POL10306,CUST0185,Lapsed,Term Life,195.89,2021-04-12
POL10307,CUST0133,cancelled,Whole Life,40.75,2023-01-18
POL10308,CUST0202,Active,Whole Life,727.67,2024-04-16
POL10309,CUST0281,Active,term life,756.16,2023-11-16
POL10310,CUST0171,ACTIVE,Critical Illness,55.69,2024-07-07
POL10311,CUST0107,cancelled,Disability,820.77,2024-08-15
POL10312,CUST0083,active,Critical Illness,437.43,2023-02-28
POL10313,CUST0151,ACTIVE,Disability,646.66,2022-12-29
POL10314,CUST0256,active,WHOLE LIFE,303.24,2020-12-30
POL10315,CUST0264,cancelled,Whole Life,841.23,2024-08-01
POL10316,CUST0053,cancelled,Critical Illness,405.78,2024-04-30
POL10317,CUST0247,Active,Whole Life,374.29,2022-09-14
POL10318,CUST0028,ACTIVE,Critical Illness,638.97,2023-11-21
POL10319,CUST0201,ACTIVE,WHOLE LIFE,337.85,2023-10-30
POL10320,CUST0168,active,Critical Illness,205.92,2023-02-28
POL10321,CUST0067,Cancelled,Disability,141.71,2024-02-25
POL10322,CUST0138,,Whole Life,345.33,2023-10-02
POL10323,CUST0150,active,WHOLE LIFE,51.11,2023-04-14
POL10324,CUST0069,ACTIVE,WHOLE LIFE,244.1,2023-09-25
POL10325,CUST0204,Lapsed,WHOLE LIFE,79.45,2023-12-31
POL10326,CUST0061,,Term Life,328.74,2023-01-07
POL10327,CUST0062,Lapsed,Critical Illness,714.54,2024-10-18
POL10328,CUST0248,active,Critical Illness,395.42,2024-11-16
POL10329,CUST0146,active,Disability,370.63,2020-10-17
POL10330,CUST0296,Lapsed,WHOLE LIFE,482.22,2024-06-26
POL10331,CUST0076,Lapsed,Whole Life,490.51,2025-01-10
POL10332,CUST0129,Lapsed,Disability,302.16,2020-02-09
POL10333,CUST0139,Cancelled,term life,546.49,2021-07-15
POL10334,CUST0165,active,Term Life,336.33,2021-06-15
POL10335,CUST0287,Active,Whole Life,763.04,2021-09-25
POL10336,CUST0041,Active,Whole Life,153.18,2024-06-03
POL10337,CUST0104,,Disability,375.8,2024-07-10
POL10338,CUST0287,Lapsed,term life,485.95,2023-09-07
POL10339,CUST0130,ACTIVE,Whole Life,740.32,2024-07-06
POL10340,CUST0227,Cancelled,WHOLE LIFE,734.39,2025-04-18
POL10341,CUST0087,Cancelled,Term Life,259.53,2020-02-19
POL10342,CUST0285,ACTIVE,Term Life,48.48,2021-03-06
POL10343,CUST0033,ACTIVE,Term Life,254.6,2021-05-16
POL10344,CUST0254,Lapsed,Critical Illness,710.4,2024-04-21
POL10345,CUST0052,Lapsed,Disability,370.92,2025-01-15
POL10346,CUST0013,Active,term life,302.13,2024-01-23
POL10347,CUST0190,Cancelled,WHOLE LIFE,843.76,2023-07-07
POL10348,CUST0231,ACTIVE,Critical Illness,773.17,2021-10-20
POL10349,CUST0049,ACTIVE,Critical Illness,185.87,2020-04-06
POL10350,CUST0067,Cancelled,Critical Illness,183.61,2020-08-04
POL10351,CUST0080,active,Critical Illness,388.91,2020-01-20
POL10352,CUST0205,Cancelled,Term Life,300.41,2023-01-05
POL10353,CUST0105,Active,Whole Life,650.85,2020-08-09
POL10354,CUST0297,ACTIVE,Disability,800.34,2022-10-19
POL10355,CUST0210,,WHOLE LIFE,698.19,2020-05-23
POL10356,CUST0200,ACTIVE,Whole Life,465.32,2020-01-21
POL10357,CUST0076,cancelled,WHOLE LIFE,777.96,2020-04-23
POL10358,CUST0109,Cancelled,term life,395.97,2024-01-03
POL10359,CUST0218,Cancelled,term life,138.36,2024-02-21
POL10360,CUST0233,Lapsed,WHOLE LIFE,717.65,2022-10-24
POL10361,CUST0118,Lapsed,term life,74.47,2025-02-27
POL10362,CUST0017,Cancelled,WHOLE LIFE,270.18,2020-04-04
POL10363,CUST0028,ACTIVE,Whole Life,305.79,2021-06-08
POL10364,CUST0161,active,WHOLE LIFE,486.87,2020-04-17
POL10365,CUST0065,,Disability,191.41,2025-03-07
POL10366,CUST0073,,Term Life,454.4,2021-06-19
POL10367,CUST0034,active,Term Life,243.08,2024-07-11
POL10368,CUST0179,Lapsed,Whole Life,741.09,2021-02-05
POL10369,CUST0251,ACTIVE,WHOLE LIFE,126.89,2022-06-21
POL10370,CUST0252,active,Term Life,732.59,2024-04-27
POL10371,CUST0282,Active,Whole Life,184.61,2021-11-14
POL10372,CUST0019,ACTIVE,Whole Life,135.1,2021-01-07
POL10373,CUST0199,Active,WHOLE LIFE,770.45,2020-05-27
POL10374,CUST0046,cancelled,Whole Life,296.29,2025-05-13
POL10375,CUST0101,Cancelled,WHOLE LIFE,346.36,2024-07-30
POL10376,CUST0174,cancelled,Critical Illness,806.2,2023-09-10
POL10377,CUST0107,cancelled,Whole Life,143.7,2023-11-21
POL10378,CUST0298,Lapsed,Term Life,133.98,2025-04-11
POL10379,CUST0177,Cancelled,term life,198.89,2020-05-21
POL10380,CUST0106,cancelled,WHOLE LIFE,291.32,2022-04-16
POL10381,CUST0103,active,Term Life,384.02,2024-08-06
POL10382,CUST0210,ACTIVE,Disability,140.1,2020-07-13
POL10383,CUST0178,Cancelled,WHOLE LIFE,438.97,2020-08-28
POL10384,CUST0146,Active,Critical Illness,103.31,2023-08-20
POL10385,CUST0233,active,Disability,642.07,2023-05-16
POL10386,CUST0113,Lapsed,WHOLE LIFE,379.47,2021-07-30
POL10387,CUST0300,Lapsed,WHOLE LIFE,277.29,2023-11-24
POL10388,CUST0007,cancelled,term life,373.34,2020-09-27
POL10389,CUST0129,Lapsed,Disability,122.68,2024-12-07
POL10390,CUST0054,Cancelled,WHOLE LIFE,766.18,2020-06-30
POL10391,CUST0187,Active,Critical Illness,518.08,2023-11-29
POL10392,CUST0177,,Term Life,166.12,2020-05-28
POL10393,CUST0186,active,Disability,428.51,2023-08-28
POL10394,CUST0032,active,Term Life,360.06,2024-08-24
POL10395,CUST0118,cancelled,term life,848.08,2020-05-16
POL10396,CUST0237,cancelled,Disability,794.97,2022-11-26
POL10397,CUST0300,active,Disability,155.8,2022-03-19
POL10398,CUST0050,cancelled,Term Life,,2025-05-16
POL10399,CUST0130,cancelled,WHOLE LIFE,756.05,2022-06-06
POL10400,CUST0240,active,Term Life,336.61,2024-08-31
POL10401,CUST0013,Active,Critical Illness,494.48,2025-06-18
POL10402,CUST0057,,Term Life,450.93,2020-09-12
POL10403,CUST0035,Cancelled,Whole Life,111.57,2022-11-14
POL10404,CUST0158,ACTIVE,Critical Illness,239.89,2022-04-27
POL10405,CUST0239,Active,Whole Life,177.86,2020-08-02
POL10406,CUST0236,active,Term Life,448.05,2020-10-21
POL10407,CUST0289,Cancelled,Whole Life,535.89,2024-11-04
POL10408,CUST0061,Lapsed,Term Life,685.68,2020-08-12
POL10409,CUST0193,active,Critical Illness,63.12,2020-08-13
POL10410,CUST0253,ACTIVE,term life,726.61,2020-04-04
POL10411,CUST0200,Lapsed,Critical Illness,251.27,2020-08-16
POL10412,CUST0215,ACTIVE,Disability,844.51,2023-02-21
POL10413,CUST0071,Cancelled,term life,118.7,2023-07-05
POL10414,CUST0154,ACTIVE,WHOLE LIFE,218.24,2020-06-21
POL10415,CUST0220,,Disability,565.46,2021-11-14
POL10416,CUST0231,Active,Term Life,470.18,2020-11-30
POL10417,CUST0271,Lapsed,term life,703.11,2023-10-14
POL10418,CUST0051,cancelled,Critical Illness,331.28,2025-05-01
POL10419,CUST0118,Cancelled,WHOLE LIFE,633.84,2022-02-03
POL10420,CUST0209,Cancelled,Term Life,,2023-04-30
POL10421,CUST0183,active,Critical Illness,601.97,2024-09-16
POL10422,CUST0155,active,term life,85.4,2021-01-11
POL10423,CUST0255,Active,term life,319.19,2024-10-18
POL10424,CUST0048,active,Critical Illness,694.23,2025-04-16
POL10425,CUST0218,cancelled,Critical Illness,271.47,2023-10-24
POL10426,CUST0050,Active,Disability,713.55,2021-11-03
POL10427,CUST0017,ACTIVE,Whole Life,678.52,2023-08-08
POL10428,CUST0145,Active,Disability,546.01,2023-02-04
POL10429,CUST0071,ACTIVE,WHOLE LIFE,539.77,2023-10-30
POL10430,CUST0109,Cancelled,term life,,2024-02-18
POL10431,CUST0246,Lapsed,Critical Illness,836.79,2025-02-20
POL10432,CUST0039,active,Term Life,648.76,2022-02-12
POL10433,CUST0230,cancelled,Disability,400.45,2025-01-11
POL10434,CUST0037,,Term Life,328.3,2024-08-30
