customer_id_raw,region,tenure_years
CUST0082,BC,14
CUST0083,Quebec,10
CUST0084,BC,6
CUST0085,Quebec,6
CUST0086,Atlantic,10
CUST0087,Quebec,15
CUST0088,Ontario,2
CUST0089,BC,5
CUST0090,Alberta,8
CUST0091,Alberta,12
CUST0092,Alberta,10
CUST0093,Atlantic,14
CUST0094,Ontario,8
CUST0095,Ontario,8
CUST0096,BC,0
CUST0097,Alberta,14
CUST0098,BC,7
CUST0099,Ontario,3
CUST0100,,11
CUST0101,,6
CUST0102,Alberta,8
CUST0103,Ontario,15
CUST0104,Ontario,5
CUST0105,BC,5
CUST0106,,7
CUST0107,,12
CUST0108,Alberta,6
CUST0109,Ontario,12
CUST0110,,10
CUST0111,,6
CUST0112,,3
CUST0113,Alberta,2
CUST0114,Atlantic,10
CUST0115,,0
CUST0116,Ontario,1
CUST0117,Atlantic,13
CUST0118,Alberta,0
CUST0119,Ontario,13
CUST0120,Quebec,10
CUST0121,Quebec,15
CUST0122,Atlantic,14
CUST0123,Alberta,2
CUST0124,Alberta,9
CUST0125,Atlantic,5
CUST0126,Atlantic,8
CUST0127,Alberta,6
CUST0128,Quebec,8
CUST0129,Quebec,13
CUST0130,Atlantic,0
CUST0131,Ontario,1
CUST0132,Alberta,3
CUST0133,,5
CUST0134,Atlantic,14
CUST0135,Alberta,8
CUST0136,Alberta,4
CUST0137,Alberta,10
CUST0138,Alberta,0
CUST0139,Quebec,0
cust0139,Quebec,0
CUST0140,Quebec,7
cust0140,Quebec,7
CUST0141,BC,10
CUST0142,Quebec,15
CUST0143,,3
CUST0144,Atlantic,8
CUST0145,,13
cust0145,,13
CUST0146,,13
CUST0147,Atlantic,5
CUST0148,,6
CUST0149,Atlantic,4
CUST0150,,11
CUST0151,BC,10
CUST0152,Quebec,6
CUST0153,Quebec,3
CUST0154,Quebec,4
CUST0155,BC,12
CUST0156,Alberta,4
CUST0157,,0
CUST0158,Atlantic,11
CUST0159,BC,3
CUST0160,,10
CUST0161,,6
CUST0162,Alberta,3
cust0162,Alberta,3
CUST0163,Atlantic,15
CUST0164,Quebec,3
CUST0165,Quebec,9
CUST0166,Ontario,1
CUST0167,,14
CUST0168,Ontario,10
CUST0169,Alberta,11
CUST0170,Atlantic,11
cust0170,Atlantic,11
CUST0171,,1
CUST0172,Quebec,13
CUST0173,,11
CUST0174,Quebec,5
CUST0175,Ontario,10
CUST0176,,12
CUST0177,Quebec,10
CUST0178,BC,8
CUST0179,,5
CUST0180,Alberta,4
CUST0181,Atlantic,11
CUST0182,Quebec,12
CUST0183,Quebec,2
CUST0184,BC,15
CUST0185,BC,1
CUST0186,,9
CUST0187,,12
CUST0188,Atlantic,2
CUST0189,Alberta,6
CUST0190,Alberta,0
CUST0191,Ontario,7
CUST0192,Alberta,1
CUST0193,,12
cust0193,,12
CUST0194,BC,8
CUST0195,BC,13
CUST0196,Atlantic,3
CUST0197,,2
CUST0198,,1
CUST0199,Quebec,12
CUST0200,Quebec,15
CUST0201,Atlantic,1
CUST0202,Alberta,13
CUST0203,Alberta,9
CUST0204,BC,15
CUST0205,Atlantic,9
CUST0206,,9
cust0206,,9
CUST0207,Quebec,1
CUST0208,Alberta,12
cust0208,Alberta,12
CUST0209,BC,12
cust0209,BC,12
CUST0210,,10
CUST0211,Quebec,13
CUST0212,BC,7
cust0212,BC,7
CUST0213,Ontario,14
CUST0214,Quebec,3
cust0214,Quebec,3
CUST0215,Alberta,14
CUST0216,Ontario,11
CUST0217,Ontario,11
CUST0218,,13
CUST0219,BC,13
CUST0220,,4
CUST0221,,4
CUST0222,Ontario,9
CUST0223,Atlantic,11
CUST0224,Atlantic,6
CUST0225,Quebec,6
CUST0226,Atlantic,6
CUST0227,Ontario,1
cust0227,Ontario,1
CUST0228,BC,13
cust0228,BC,13
CUST0229,Ontario,3
CUST0230,BC,2
CUST0231,,5
CUST0232,,11
CUST0233,BC,6
CUST0234,Alberta,4
CUST0235,Ontario,3
CUST0236,Atlantic,6
CUST0237,,8
CUST0238,Quebec,11
CUST0239,Atlantic,10
CUST0240,,5
CUST0241,BC,3
CUST0242,BC,2
CUST0243,Alberta,15
CUST0244,Alberta,9
CUST0245,Ontario,2
CUST0246,,2
CUST0247,Alberta,10
CUST0248,Quebec,7
CUST0249,,10
CUST0250,Ontario,10
CUST0251,Atlantic,8
CUST0252,BC,14
CUST0253,Alberta,7
CUST0254,BC,0
CUST0255,Alberta,12
CUST0256,,11
CUST0257,Atlantic,4
CUST0258,Atlantic,5
CUST0259,Alberta,9
CUST0260,Quebec,1
CUST0261,Atlantic,9
CUST0262,,13
CUST0263,Atlantic,9
CUST0264,Ontario,10
CUST0265,,3
CUST0266,Ontario,0
CUST0267,Quebec,3
CUST0268,,13
CUST0269,Quebec,15
CUST0270,Atlantic,10
CUST0271,Alberta,11
CUST0272,BC,4
CUST0273,Atlantic,2
CUST0274,Ontario,13
CUST0275,,11
CUST0276,Alberta,2
CUST0277,Atlantic,0
CUST0278,,0
CUST0279,Alberta,13
CUST0280,Quebec,5
CUST0281,Alberta,5
CUST0282,Alberta,13
CUST0283,BC,1
CUST0284,,3
CUST0285,Quebec,5
CUST0286,Alberta,0
CUST0287,Ontario,10
CUST0288,Quebec,11
CUST0289,Quebec,15
CUST0290,Quebec,14
CUST0291,BC,12
CUST0292,BC,15
CUST0293,Alberta,12
CUST0294,BC,2
CUST0295,Quebec,12
cust0295,Quebec,12
CUST0296,Quebec,12
CUST0297,Atlantic,8
CUST0298,Ontario,7
CUST0299,Alberta,11
CUST0300,Quebec,13
