policy_id,customer_id,status_clean,product_clean,monthly_premium,region_clean,tenure_years,claim_count,total_claim_amount
POL10052,CUST0110,,DISABILITY,461.18,Ontario,14,0,0.0
POL10053,CUST0162,CANCELLED,TERM LIFE,100.49,BC,7,0,0.0
POL10054,CUST0143,,TERM LIFE,613.99,Ontario,5,0,0.0
POL10055,CUST0182,ACTIVE,WHOLE LIFE,55.48,UNSPECIFIED,4,0,0.0
POL10057,CUST0137,ACTIVE,WHOLE LIFE,837.05,Alberta,14,1,37154.06
POL10058,CUST0229,ACTIVE,WHOLE LIFE,558.33,UNSPECIFIED,14,0,0.0
POL10059,CUST0040,CANCELLED,WHOLE LIFE,424.87,UNSPECIFIED,5,1,18308.28
POL10060,CUST0006,,DISABILITY,69.3,BC,4,1,35229.06
POL10061,CUST0140,,CRITICAL ILLNESS,806.92,Alberta,7,0,0.0
POL10062,CUST0082,LAPSED,WHOLE LIFE,110.64,Alberta,2,0,0.0
POL10063,CUST0199,ACTIVE,DISABILITY,546.69,BC,8,0,0.0
POL10064,CUST0004,LAPSED,TERM LIFE,752.25,BC,3,1,34424.68
POL10065,CUST0176,LAPSED,CRITICAL ILLNESS,205.96,Quebec,5,1,3209.99
POL10066,CUST0064,ACTIVE,WHOLE LIFE,834.2,Quebec,3,0,0.0
POL10067,CUST0275,,CRITICAL ILLNESS,621.8,Quebec,7,1,30543.72
POL10068,CUST0179,CANCELLED,TERM LIFE,317.06,UNSPECIFIED,8,0,0.0
POL10069,CUST0141,LAPSED,TERM LIFE,742.71,Quebec,7,1,44574.82
POL10070,CUST0018,ACTIVE,TERM LIFE,678.2,Ontario,13,0,0.0
POL10071,CUST0241,ACTIVE,TERM LIFE,459.75,Ontario,14,0,0.0
POL10072,CUST0226,LAPSED,TERM LIFE,109.68,Ontario,3,0,0.0
POL10073,CUST0225,CANCELLED,TERM LIFE,630.36,Ontario,11,0,0.0
POL10074,CUST0085,CANCELLED,TERM LIFE,493.58,Atlantic,9,1,35805.68
POL10075,CUST0196,,TERM LIFE,729.12,Atlantic,15,0,0.0
POL10076,CUST0279,CANCELLED,CRITICAL ILLNESS,202.78,Quebec,7,1,31505.73
POL10077,CUST0059,CANCELLED,TERM LIFE,62.48,UNSPECIFIED,7,0,0.0
POL10078,CUST0023,CANCELLED,DISABILITY,841.42,UNSPECIFIED,3,0,0.0
POL10079,CUST0252,ACTIVE,WHOLE LIFE,793.97,UNSPECIFIED,14,0,0.0
POL10080,CUST0212,,DISABILITY,423.26,BC,1,0,0.0
POL10081,CUST0174,LAPSED,DISABILITY,127.98,Alberta,12,0,0.0
POL10082,CUST0016,ACTIVE,WHOLE LIFE,831.6,Ontario,6,1,40101.67
POL10084,CUST0165,CANCELLED,CRITICAL ILLNESS,444.05,Atlantic,8,0,0.0
POL10085,CUST0299,ACTIVE,TERM LIFE,621.33,Atlantic,6,1,7611.53
POL10086,CUST0272,LAPSED,TERM LIFE,374.86,Atlantic,0,1,41405.82
POL10087,CUST0082,CANCELLED,WHOLE LIFE,472.54,Alberta,2,0,0.0
POL10088,CUST0272,ACTIVE,TERM LIFE,733.98,Atlantic,0,1,8542.55
POL10089,CUST0178,ACTIVE,CRITICAL ILLNESS,761.42,UNSPECIFIED,6,0,0.0
POL10090,CUST0112,,WHOLE LIFE,148.49,Alberta,13,0,0.0
POL10091,CUST0068,CANCELLED,TERM LIFE,118.58,UNSPECIFIED,9,0,0.0
POL10092,CUST0216,CANCELLED,WHOLE LIFE,366.25,Atlantic,9,1,22790.03
POL10093,CUST0010,ACTIVE,WHOLE LIFE,329.65,UNSPECIFIED,3,0,0.0
POL10094,CUST0185,ACTIVE,WHOLE LIFE,654.11,UNSPECIFIED,15,0,0.0
POL10095,CUST0097,,TERM LIFE,59.69,Alberta,1,1,25554.29
POL10096,CUST0283,CANCELLED,TERM LIFE,429.83,UNSPECIFIED,7,0,0.0
POL10097,CUST0095,ACTIVE,WHOLE LIFE,168.0,Alberta,8,0,0.0
POL10098,CUST0049,CANCELLED,TERM LIFE,591.58,BC,5,1,22651.81
POL10099,CUST0050,ACTIVE,DISABILITY,457.38,Ontario,0,0,0.0
POL10101,CUST0021,,WHOLE LIFE,407.7,Ontario,13,0,0.0
POL10102,CUST0190,LAPSED,WHOLE LIFE,116.79,UNSPECIFIED,13,0,0.0
POL10103,CUST0008,ACTIVE,TERM LIFE,610.78,BC,3,0,0.0
POL10104,CUST0208,CANCELLED,TERM LIFE,513.54,UNSPECIFIED,6,1,25235.19
POL10105,CUST0133,ACTIVE,TERM LIFE,670.17,Atlantic,14,1,1758.83
POL10106,CUST0208,ACTIVE,CRITICAL ILLNESS,602.79,UNSPECIFIED,6,0,0.0
POL10107,CUST0222,,WHOLE LIFE,625.33,Quebec,15,0,0.0
POL10108,CUST0175,ACTIVE,DISABILITY,759.32,UNSPECIFIED,0,2,55966.44
POL10109,CUST0026,ACTIVE,CRITICAL ILLNESS,579.54,Quebec,13,0,0.0
POL10110,CUST0111,CANCELLED,DISABILITY,471.79,Atlantic,3,0,0.0
POL10111,CUST0264,LAPSED,WHOLE LIFE,136.88,Ontario,12,0,0.0
POL10112,CUST0295,ACTIVE,TERM LIFE,638.42,UNSPECIFIED,15,0,0.0
POL10113,CUST0228,LAPSED,TERM LIFE,198.31,Alberta,7,1,15334.18
POL10114,CUST0006,ACTIVE,CRITICAL ILLNESS,773.57,BC,4,0,0.0
POL10115,CUST0277,CANCELLED,DISABILITY,500.06,Alberta,8,3,94056.21
POL10116,CUST0228,,WHOLE LIFE,524.0,Alberta,7,0,0.0
POL10117,CUST0024,LAPSED,WHOLE LIFE,825.76,UNSPECIFIED,2,0,0.0
POL10118,CUST0254,CANCELLED,TERM LIFE,387.96,UNSPECIFIED,13,0,0.0
POL10119,CUST0216,ACTIVE,TERM LIFE,293.04,Atlantic,9,0,0.0
POL10120,CUST0147,LAPSED,WHOLE LIFE,792.88,Atlantic,15,1,39998.59
POL10121,CUST0152,ACTIVE,TERM LIFE,514.5,Alberta,6,0,0.0
POL10122,CUST0081,LAPSED,WHOLE LIFE,767.01,Alberta,10,0,0.0
POL10123,CUST0204,ACTIVE,TERM LIFE,805.01,Atlantic,13,1,36316.09
POL10124,CUST0115,LAPSED,WHOLE LIFE,828.27,Atlantic,7,1,17026.57
POL10125,CUST0024,CANCELLED,TERM LIFE,625.42,UNSPECIFIED,2,1,35123.51
POL10126,CUST0074,,WHOLE LIFE,133.23,Quebec,3,0,0.0
POL10127,CUST0214,LAPSED,TERM LIFE,82.17,Ontario,6,0,0.0
POL10128,CUST0080,ACTIVE,CRITICAL ILLNESS,580.99,Alberta,2,1,35408.24
POL10129,CUST0135,CANCELLED,TERM LIFE,334.86,BC,1,0,0.0
POL10130,CUST0272,,WHOLE LIFE,634.77,Atlantic,0,0,0.0
POL10131,CUST0247,ACTIVE,TERM LIFE,675.29,Atlantic,2,1,47495.24
POL10132,CUST0184,ACTIVE,CRITICAL ILLNESS,627.31,Quebec,1,0,0.0
POL10133,CUST0098,CANCELLED,CRITICAL ILLNESS,193.75,Atlantic,1,0,0.0
POL10134,CUST0258,CANCELLED,WHOLE LIFE,72.0,BC,13,0,0.0
POL10135,CUST0005,ACTIVE,CRITICAL ILLNESS,544.91,BC,14,0,0.0
POL10136,CUST0114,CANCELLED,CRITICAL ILLNESS,110.02,BC,0,0,0.0
POL10137,CUST0083,CANCELLED,WHOLE LIFE,342.28,BC,13,0,0.0
POL10138,CUST0182,ACTIVE,CRITICAL ILLNESS,643.31,UNSPECIFIED,4,0,0.0
POL10139,CUST0039,,TERM LIFE,705.85,Quebec,2,0,0.0
POL10140,CUST0110,LAPSED,DISABILITY,356.0,Ontario,14,0,0.0
POL10141,CUST0189,ACTIVE,WHOLE LIFE,523.29,Ontario,10,0,0.0
POL10142,CUST0281,,WHOLE LIFE,188.93,Atlantic,9,0,0.0
POL10143,CUST0190,CANCELLED,TERM LIFE,302.56,UNSPECIFIED,13,1,2988.84
POL10144,CUST0043,LAPSED,TERM LIFE,700.39,Alberta,3,0,0.0
POL10145,CUST0154,,TERM LIFE,212.74,UNSPECIFIED,12,0,0.0
POL10146,CUST0042,CANCELLED,CRITICAL ILLNESS,658.96,Ontario,8,1,18690.87
POL10147,CUST0145,ACTIVE,WHOLE LIFE,628.04,BC,2,1,46672.27
POL10148,CUST0061,ACTIVE,WHOLE LIFE,521.76,BC,3,2,91134.06
POL10149,CUST0143,LAPSED,TERM LIFE,286.86,Ontario,5,0,0.0
POL10150,CUST0114,LAPSED,WHOLE LIFE,241.13,BC,0,0,0.0
POL10151,CUST0188,ACTIVE,CRITICAL ILLNESS,513.7,Ontario,14,0,0.0
POL10152,CUST0100,CANCELLED,TERM LIFE,356.1,Atlantic,5,0,0.0
POL10153,CUST0289,ACTIVE,WHOLE LIFE,408.04,Ontario,9,0,0.0
POL10154,CUST0145,,TERM LIFE,86.76,BC,2,0,0.0
POL10155,CUST0291,ACTIVE,TERM LIFE,691.5,Atlantic,2,1,17161.85
POL10156,CUST0298,CANCELLED,CRITICAL ILLNESS,108.08,Ontario,9,0,0.0
POL10157,CUST0141,CANCELLED,TERM LIFE,108.61,Quebec,7,0,0.0
POL10158,CUST0074,ACTIVE,WHOLE LIFE,381.86,Quebec,3,0,0.0
POL10159,CUST0113,LAPSED,TERM LIFE,411.85,Atlantic,13,2,29202.15
POL10160,CUST0173,,CRITICAL ILLNESS,439.87,Atlantic,8,0,0.0
POL10161,CUST0038,CANCELLED,TERM LIFE,372.59,Atlantic,12,1,14007.42
POL10162,CUST0179,,TERM LIFE,715.4,UNSPECIFIED,8,1,29951.42
POL10164,CUST0006,,TERM LIFE,380.57,BC,4,0,0.0
POL10165,CUST0126,CANCELLED,WHOLE LIFE,344.17,Atlantic,10,0,0.0
POL10166,CUST0165,ACTIVE,DISABILITY,276.54,Atlantic,8,1,14084.82
POL10167,CUST0031,LAPSED,CRITICAL ILLNESS,285.83,Atlantic,13,0,0.0
POL10169,CUST0019,ACTIVE,TERM LIFE,331.05,UNSPECIFIED,0,0,0.0
POL10170,CUST0121,CANCELLED,WHOLE LIFE,451.97,Ontario,7,1,14325.21
POL10171,CUST0095,ACTIVE,DISABILITY,653.58,Alberta,8,1,1588.05
POL10172,CUST0281,,TERM LIFE,250.98,Atlantic,9,1,43500.24
POL10173,CUST0207,ACTIVE,WHOLE LIFE,815.19,Quebec,7,0,0.0
POL10174,CUST0114,LAPSED,TERM LIFE,148.78,BC,0,0,0.0
POL10175,CUST0198,CANCELLED,TERM LIFE,678.02,BC,12,1,32507.2
POL10176,CUST0122,ACTIVE,DISABILITY,404.52,Ontario,8,0,0.0
POL10177,CUST0216,CANCELLED,WHOLE LIFE,665.26,Atlantic,9,0,0.0
POL10178,CUST0133,,TERM LIFE,640.76,Atlantic,14,1,5112.92
POL10179,CUST0137,CANCELLED,TERM LIFE,503.22,Alberta,14,0,0.0
POL10180,CUST0001,ACTIVE,WHOLE LIFE,106.77,Quebec,7,0,0.0
POL10181,CUST0271,ACTIVE,DISABILITY,107.12,BC,5,0,0.0
POL10182,CUST0279,,TERM LIFE,679.35,Quebec,7,1,26826.06
POL10183,CUST0099,CANCELLED,TERM LIFE,396.55,Quebec,12,0,0.0
POL10184,CUST0279,LAPSED,TERM LIFE,806.74,Quebec,7,0,0.0
POL10185,CUST0160,ACTIVE,CRITICAL ILLNESS,490.68,Ontario,10,0,0.0
POL10186,CUST0035,ACTIVE,TERM LIFE,125.66,Alberta,5,3,51701.22
POL10187,CUST0237,CANCELLED,TERM LIFE,50.0,Atlantic,0,1,10632.99
POL10188,CUST0244,ACTIVE,CRITICAL ILLNESS,411.05,BC,6,0,0.0
POL10189,CUST0106,CANCELLED,WHOLE LIFE,344.55,Alberta,1,1,12912.34
POL10190,CUST0153,ACTIVE,DISABILITY,110.41,Atlantic,6,0,0.0
POL10191,CUST0103,LAPSED,WHOLE LIFE,290.87,BC,13,0,0.0
POL10192,CUST0289,LAPSED,WHOLE LIFE,401.95,Ontario,9,0,0.0
POL10193,CUST0048,ACTIVE,WHOLE LIFE,146.47,Alberta,6,0,0.0
POL10194,CUST0092,ACTIVE,WHOLE LIFE,717.9,Alberta,5,0,0.0
POL10195,CUST0047,ACTIVE,WHOLE LIFE,839.81,Alberta,14,0,0.0
POL10196,CUST0209,,TERM LIFE,706.84,Quebec,15,0,0.0
POL10197,CUST0262,ACTIVE,WHOLE LIFE,159.86,Atlantic,6,0,0.0
POL10198,CUST0198,LAPSED,CRITICAL ILLNESS,544.65,BC,12,0,0.0
POL10199,CUST0206,CANCELLED,WHOLE LIFE,678.89,Atlantic,1,0,0.0
POL10200,CUST0272,ACTIVE,CRITICAL ILLNESS,317.21,Atlantic,0,1,32571.54
POL10201,CUST0226,ACTIVE,TERM LIFE,452.58,Ontario,3,0,0.0
POL10202,CUST0151,,TERM LIFE,168.26,Ontario,10,0,0.0
POL10203,CUST0276,ACTIVE,TERM LIFE,535.73,Quebec,4,1,44081.89
POL10204,CUST0073,CANCELLED,WHOLE LIFE,796.14,BC,6,0,0.0
POL10205,CUST0101,CANCELLED,TERM LIFE,200.3,BC,4,1,41511.15
POL10206,CUST0070,ACTIVE,DISABILITY,604.65,Ontario,8,0,0.0
POL10207,CUST0047,,CRITICAL ILLNESS,755.22,Alberta,14,0,0.0
POL10208,CUST0070,ACTIVE,TERM LIFE,494.19,Ontario,8,0,0.0
POL10209,CUST0136,ACTIVE,WHOLE LIFE,702.18,Ontario,12,1,19219.55
POL10210,CUST0075,ACTIVE,TERM LIFE,766.58,Alberta,2,0,0.0
POL10211,CUST0294,ACTIVE,WHOLE LIFE,483.76,Quebec,5,0,0.0
POL10212,CUST0233,ACTIVE,DISABILITY,839.47,UNSPECIFIED,0,2,53553.06
POL10213,CUST0071,ACTIVE,WHOLE LIFE,774.22,Ontario,9,0,0.0
POL10214,CUST0009,ACTIVE,WHOLE LIFE,66.78,Quebec,9,0,0.0
POL10215,CUST0198,ACTIVE,TERM LIFE,312.36,BC,12,1,20028.87
POL10216,CUST0135,ACTIVE,TERM LIFE,83.31,BC,1,1,14839.98
POL10217,CUST0020,CANCELLED,WHOLE LIFE,366.57,Alberta,15,0,0.0
POL10218,CUST0053,LAPSED,CRITICAL ILLNESS,545.28,Alberta,0,1,2425.7
POL10219,CUST0290,,DISABILITY,433.49,Alberta,14,0,0.0
POL10220,CUST0210,,DISABILITY,132.85,Quebec,15,0,0.0
POL10221,CUST0270,ACTIVE,TERM LIFE,380.48,UNSPECIFIED,6,0,0.0
POL10222,CUST0165,ACTIVE,CRITICAL ILLNESS,769.11,Atlantic,8,2,31037.629999999997
POL10223,CUST0193,CANCELLED,CRITICAL ILLNESS,286.85,UNSPECIFIED,9,1,38547.81
POL10224,CUST0036,ACTIVE,TERM LIFE,236.3,BC,10,1,27396.28
POL10225,CUST0204,ACTIVE,DISABILITY,466.24,Atlantic,13,1,47697.03
POL10226,CUST0280,ACTIVE,WHOLE LIFE,231.06,BC,3,0,0.0
POL10227,CUST0189,,TERM LIFE,692.26,Ontario,10,1,31825.36
POL10228,CUST0216,CANCELLED,TERM LIFE,119.84,Atlantic,9,0,0.0
POL10229,CUST0067,ACTIVE,TERM LIFE,407.08,BC,15,1,29780.85
POL10231,CUST0033,LAPSED,DISABILITY,361.78,Quebec,1,0,0.0
POL10232,CUST0300,ACTIVE,TERM LIFE,408.45,BC,13,0,0.0
POL10233,CUST0158,ACTIVE,DISABILITY,669.1,UNSPECIFIED,12,1,31463.71
POL10234,CUST0242,ACTIVE,WHOLE LIFE,787.35,Alberta,14,0,0.0
POL10235,CUST0031,ACTIVE,CRITICAL ILLNESS,326.86,Atlantic,13,0,0.0
POL10236,CUST0009,ACTIVE,WHOLE LIFE,846.28,Quebec,9,0,0.0
POL10237,CUST0273,CANCELLED,WHOLE LIFE,752.94,UNSPECIFIED,1,1,6352.35
POL10238,CUST0055,ACTIVE,WHOLE LIFE,818.7,UNSPECIFIED,10,1,9536.92
POL10239,CUST0216,CANCELLED,WHOLE LIFE,815.13,Atlantic,9,0,0.0
POL10240,CUST0228,LAPSED,TERM LIFE,737.84,Alberta,7,1,15406.01
POL10241,CUST0101,ACTIVE,WHOLE LIFE,446.16,BC,4,1,46658.81
POL10242,CUST0140,ACTIVE,WHOLE LIFE,133.77,Alberta,7,1,30428.1
POL10243,CUST0118,ACTIVE,WHOLE LIFE,264.24,BC,9,0,0.0
POL10244,CUST0047,LAPSED,TERM LIFE,467.92,Alberta,14,0,0.0
POL10245,CUST0024,ACTIVE,TERM LIFE,475.18,UNSPECIFIED,2,1,25112.58
POL10246,CUST0292,ACTIVE,WHOLE LIFE,652.1,UNSPECIFIED,8,0,0.0
POL10247,CUST0092,ACTIVE,WHOLE LIFE,190.95,Alberta,5,1,17839.74
POL10248,CUST0078,ACTIVE,TERM LIFE,647.98,BC,9,0,0.0
POL10249,CUST0002,LAPSED,TERM LIFE,490.36,UNSPECIFIED,13,0,0.0
POL10250,CUST0185,ACTIVE,WHOLE LIFE,65.88,UNSPECIFIED,15,0,0.0
POL10251,CUST0259,,WHOLE LIFE,461.62,UNSPECIFIED,4,1,6540.09
POL10252,CUST0273,ACTIVE,TERM LIFE,173.79,UNSPECIFIED,1,0,0.0
POL10253,CUST0224,ACTIVE,WHOLE LIFE,666.15,BC,7,0,0.0
POL10254,CUST0121,ACTIVE,DISABILITY,730.63,Ontario,7,1,3289.88
POL10255,CUST0256,ACTIVE,TERM LIFE,826.21,Alberta,5,0,0.0
POL10256,CUST0294,LAPSED,WHOLE LIFE,532.72,Quebec,5,0,0.0
POL10257,CUST0255,,DISABILITY,625.74,Ontario,2,0,0.0
POL10258,CUST0016,ACTIVE,TERM LIFE,500.81,Ontario,6,1,23696.0
POL10259,CUST0297,,WHOLE LIFE,158.45,Atlantic,6,0,0.0
POL10260,CUST0218,ACTIVE,WHOLE LIFE,543.17,BC,14,0,0.0
POL10261,CUST0136,,TERM LIFE,566.55,Ontario,12,0,0.0
POL10262,CUST0088,LAPSED,CRITICAL ILLNESS,442.47,Atlantic,1,1,27205.22
POL10263,CUST0233,ACTIVE,CRITICAL ILLNESS,335.18,UNSPECIFIED,0,0,0.0
POL10264,CUST0022,ACTIVE,DISABILITY,526.61,BC,4,0,0.0
POL10265,CUST0075,CANCELLED,DISABILITY,838.37,Alberta,2,0,0.0
POL10266,CUST0124,LAPSED,TERM LIFE,358.27,UNSPECIFIED,15,0,0.0
POL10267,CUST0242,LAPSED,TERM LIFE,590.68,Alberta,14,0,0.0
POL10268,CUST0118,ACTIVE,CRITICAL ILLNESS,732.84,BC,9,0,0.0
POL10269,CUST0237,ACTIVE,WHOLE LIFE,313.01,Atlantic,0,0,0.0
POL10270,CUST0112,ACTIVE,WHOLE LIFE,566.33,Alberta,13,2,26562.26
POL10271,CUST0176,CANCELLED,WHOLE LIFE,756.38,Quebec,5,0,0.0
POL10272,CUST0091,LAPSED,DISABILITY,212.79,UNSPECIFIED,0,1,14608.54
POL10273,CUST0026,ACTIVE,DISABILITY,188.72,Quebec,13,0,0.0
POL10274,CUST0084,LAPSED,WHOLE LIFE,521.05,BC,12,0,0.0
POL10275,CUST0158,LAPSED,DISABILITY,547.59,UNSPECIFIED,12,1,45785.99
POL10276,CUST0250,ACTIVE,TERM LIFE,98.95,Alberta,14,0,0.0
POL10277,CUST0142,ACTIVE,CRITICAL ILLNESS,460.31,UNSPECIFIED,4,1,10335.27
POL10278,CUST0135,CANCELLED,DISABILITY,566.06,BC,1,1,49360.23
POL10279,CUST0138,ACTIVE,CRITICAL ILLNESS,629.74,Quebec,14,0,0.0
POL10280,CUST0185,ACTIVE,WHOLE LIFE,774.73,UNSPECIFIED,15,1,30297.51
POL10281,CUST0165,,DISABILITY,732.18,Atlantic,8,1,604.87
POL10282,CUST0167,ACTIVE,TERM LIFE,284.81,BC,4,0,0.0
POL10283,CUST0123,LAPSED,TERM LIFE,456.26,Alberta,8,2,51469.509999999995
POL10284,CUST0017,ACTIVE,CRITICAL ILLNESS,427.68,BC,15,1,8301.83
POL10285,CUST0070,CANCELLED,WHOLE LIFE,294.23,Ontario,8,1,19771.3
POL10286,CUST0194,ACTIVE,WHOLE LIFE,473.33,Alberta,11,0,0.0
POL10287,CUST0208,ACTIVE,DISABILITY,328.05,UNSPECIFIED,6,0,0.0
POL10288,CUST0150,ACTIVE,CRITICAL ILLNESS,153.65,Atlantic,11,1,1328.21
POL10289,CUST0013,CANCELLED,WHOLE LIFE,49.2,Ontario,11,0,0.0
POL10290,CUST0153,CANCELLED,WHOLE LIFE,730.89,Atlantic,6,1,11085.14
POL10291,CUST0181,CANCELLED,TERM LIFE,743.38,Ontario,15,1,47199.55
POL10292,CUST0133,ACTIVE,DISABILITY,439.26,Atlantic,14,0,0.0
POL10293,CUST0197,ACTIVE,CRITICAL ILLNESS,266.65,Quebec,1,0,0.0
POL10294,CUST0207,ACTIVE,DISABILITY,324.08,Quebec,7,0,0.0
POL10295,CUST0123,CANCELLED,TERM LIFE,775.09,Alberta,8,1,37087.38
POL10296,CUST0078,LAPSED,TERM LIFE,730.88,BC,9,0,0.0
POL10297,CUST0012,LAPSED,TERM LIFE,90.98,Alberta,7,0,0.0
POL10298,CUST0140,ACTIVE,DISABILITY,514.56,Alberta,7,1,3895.94
POL10300,CUST0166,ACTIVE,TERM LIFE,700.28,BC,2,2,89054.11
POL10301,CUST0096,CANCELLED,DISABILITY,316.57,UNSPECIFIED,4,0,0.0
POL10302,CUST0186,ACTIVE,TERM LIFE,215.41,Alberta,0,2,63837.18
POL10303,CUST0025,CANCELLED,TERM LIFE,376.61,UNSPECIFIED,3,0,0.0
POL10304,CUST0035,,DISABILITY,349.32,Alberta,5,0,0.0
POL10305,CUST0198,ACTIVE,WHOLE LIFE,261.02,BC,12,0,0.0
POL10306,CUST0185,LAPSED,TERM LIFE,195.89,UNSPECIFIED,15,0,0.0
POL10307,CUST0133,CANCELLED,WHOLE LIFE,40.75,Atlantic,14,1,25765.56
POL10308,CUST0202,ACTIVE,WHOLE LIFE,727.67,Alberta,13,1,29832.97
POL10309,CUST0281,ACTIVE,TERM LIFE,756.16,Atlantic,9,1,14424.39
POL10310,CUST0171,ACTIVE,CRITICAL ILLNESS,55.69,Ontario,14,0,0.0
POL10311,CUST0107,CANCELLED,DISABILITY,820.77,UNSPECIFIED,2,0,0.0
POL10312,CUST0083,ACTIVE,CRITICAL ILLNESS,437.43,BC,13,0,0.0
POL10313,CUST0151,ACTIVE,DISABILITY,646.66,Ontario,10,1,21766.16
POL10314,CUST0256,ACTIVE,WHOLE LIFE,303.24,Alberta,5,2,19662.64
POL10315,CUST0264,CANCELLED,WHOLE LIFE,841.23,Ontario,12,0,0.0
POL10316,CUST0053,CANCELLED,CRITICAL ILLNESS,405.78,Alberta,0,2,27151.63
POL10317,CUST0247,ACTIVE,WHOLE LIFE,374.29,Atlantic,2,0,0.0
POL10318,CUST0028,ACTIVE,CRITICAL ILLNESS,638.97,BC,2,0,0.0
POL10319,CUST0201,ACTIVE,WHOLE LIFE,337.85,Ontario,5,0,0.0
POL10320,CUST0168,ACTIVE,CRITICAL ILLNESS,205.92,UNSPECIFIED,12,1,22697.87
POL10321,CUST0067,CANCELLED,DISABILITY,141.71,BC,15,2,75571.57
